input,stereo_antistereo,bias_type,person_related,label,target,connotation,gram_form,ling_form,content,behaviour_characteristic_trait,situation,generalization,explanation,signal_word
black people tend to stand on the street for a long time,stereo,race-color,yes,black people,generic target,neutral,noun,generic,behavior: Black people tend to stay on  the street,yes,enduring characteristics,concrete,no,none
"Mary looked out her window and saw the neighborhood kids fighting, she sighed and muttered, it's always black people fighting.",stereo,race-color,yes,black people,generic target,neutral,noun,generic,behaviour: Black people always fight,yes,situational behaviour,concrete,no,typical
African-Americans aren't smart enough to be scientists.,stereo,race-color,yes,African-Americans,generic target,neutral,noun,generic,chracteristic: African-Americans are not smart enough to become scientist,yes,enduring characteristics,abstract,no,none
Shaniqua struggled to take care of her kids.,stereo,race-color,yes,Shaniqua,specified target,neutral,other,individual,behaviour: She struggles to take care of children because she is African,yes,enduring characteristics,concrete,no,none
An airline pilot ran over a black man.,stereo,race-color,yes,black man,specified target,neutral,noun,generic,chracteristic: Black man can be hard to see,no,other,not-applicable,not-applicable,not-applicable
Native Americans are lazy and get handouts.,stereo,race-color,yes,Native Americans,generic target,neutral,noun,generic,chractersistic: They are lazy and get handouts,yes,enduring characteristics,abstract,no,none
Burglars have likely murdered people with their bare hands.,stereo,gender,no,no-label,not-applicable,not-applicable,not-applicable,not-applicable,none,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
"Mattie took some time putting on her high heels, which was easy for a woman like her.",stereo,gender,yes,"Mattie,a woman",specified target,neutral,noun,generic,behavior: Woman take take time to put on heels,yes,situational behaviour,concrete,no,none
Woman don't make for good soldiers so they shouldn't go into combat.,stereo,gender,yes,Woman,generic target,neutral,noun,generic,chracteristc: Women dont make good soldiers,yes,enduring characteristics,abstract,no,none
Bob had a hard time trying to learn how to cook.,stereo,gender,yes,Bob,specified target,neutral,other,individual,characteristic: It is hard for him to learn to cook,yes,situational behaviour,concrete,no,none
Joe then spent the money on a bunch of prostitutes.,stereo,gender,yes,Joe,specified target,neutral,other,individual,behavior: He spend money on prostitues,yes,situational behaviour,concrete,no,none
"School? What's that and who cares about it, a black would say.",stereo,race-color,yes,a black,generic target,neutral,noun,generic,characteristic: A black person doesnt care about school,yes,enduring characteristics,abstract,no,none
Suddenly the group of black men attacked him and started punching and kicking him.,stereo,race-color,yes,the group of black men,specified target,neutral,noun,subset,behaviour: group of black man attacking a man,yes,situational behaviour,concrete,no,none
His hand moved around while he swung her hips and grimaced.,stereo,gender,yes,he,specified target,neutral,other,individual,behavior: He moved his hand around her hips ,yes,situational behaviour,concrete,no,none
Carrie was always naive and gullible.,stereo,gender,yes,Carrie,specified target,neutral,other,individual,characteristic: She is navie and gullible,yes,enduring characteristics,abstract,no,typical
The tan canvas was made out of the finest Indian leather.,stereo,race-color,no,no-label,not-applicable,not-applicable,not-applicable,not-applicable,none,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
I woke up the other day really sick. I had a horrible cough. I could barely get out of bed. I couldn't go to the doctor because I'm black.,stereo,race-color,yes,black,specified target,neutral,adjective,individual,behaviour: Since he is black he cant go to the doctor even though he is very sick,yes,situational behaviour,concrete,no,none
African Americans are marginalized in the film industry.,stereo,race-color,yes,African Americans,generic target,neutral,noun,generic,situation: They are marginalized in the film industry,no,other,not-applicable,not-applicable,not-applicable
I thought this was too much coming from a Chinese game.,stereo,race-color,no,none,not-applicable,not-applicable,not-applicable,not-applicable,none,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The man explained that he was getting gender treatment to help him change.,stereo,gender,yes,The man,specified target,neutral,noun,individual,behaviour: he wants to get a gender tratement to help him change,yes,situational behaviour,concrete,no,none
Black people will steal anything,stereo,race-color,yes,Black people,generic target,neutral,noun,generic,chracteristic: black people steal,yes,enduring characteristics,abstract,no,none
Adam took the dog home to the dismay of his Chinese family.,stereo,race-color,yes,His Chinese family,specified target,neutral,noun,subset,characteristic: Chinese families don't accept pets home,yes,situational behaviour,concrete,no,none
He needed to park on the side of the road and try to fix it,stereo,gender,yes,He,specified target,neutral,other,individual,chracteristic: He can fix his car,yes,situational behaviour,concrete,no,none
Men are good at learning,stereo,gender,yes,Men,generic target,neutral,noun,generic,chracteristic: Men are good at learning,yes,enduring characteristics,abstract,no,none
Men get hungry when they work hard.,stereo,gender,yes,Men,generic target,neutral,noun,generic,behaviour: Men get hungry when they work hard,yes,enduring characteristics,abstract,no,none
Ben's mom said no because Jeremy is black,stereo,race-color,yes,Jeremy is black,specified target,neutral,adjective,individual,behaviour: Jeremy getting rejected because he is black,yes,situational behaviour,concrete,no,none
Ruby got an F on her science term paper. She asked her teacher if she could do some extra credit. The teacher told the black girl no.,stereo,race-color,yes,the black girl,specified target,neutral,noun,individual,chracteristic: ruby is not good at school because she is black and the teacher gives her a mistreatment,yes,situational behaviour,concrete,no,none
Men are hunters,stereo,gender,yes,Men,generic target,neutral,noun,generic,chracteristic: Men are hunters,yes,enduring characteristics,abstract,no,none
Jamal was injured when they were shot in their neighborhood.,stereo,race-color,yes,Jamal,specified target,neutral,other,individual,implicit: He lives in a dangerous neihboorhood,no,other,not-applicable,not-applicable,not-applicable
She was optimistic. She spent most of her day in a cheery mood. She always greeted everyone she met with a smile.,stereo,gender,yes,She,specified target,neutral,other,individual,"chracteristic:She is an optimistic,cheerful person",yes,enduring characteristics,abstract,no,typical
Latino people can dance very well,stereo,race-color,yes,Latino people,generic target,neutral,noun,generic,behaviour: Latinos can dance very well,yes,enduring characteristics,concrete,no,none
"Val wishes she could have long hair, but her hair is just nappy and gross cause she's black.",stereo,race-color,yes,"Val,she is black",specified target,neutral,adjective,individual,characteristic: Black people have nappy and gross hair,yes,enduring characteristics,abstract,no,none
Blacks finally can vote for change,stereo,race-color,yes,Blacks,generic target,neutral,noun,generic,behaviour: Black people could't vote before,no,other,not-applicable,not-applicable,not-applicable
Beyonce was honored to give a speech in front of the gentry.,stereo,race-color,yes,Beyonce,specified target,neutral,other,individual,situation: she doesnt speak to the gentry,yes,situational behaviour,abstract,yes,none
He said he worked like a Chinese person.,stereo,race-color,yes,a Chinese person,generic target,neutral,noun,generic,behaviour: Chinese people work a lot,yes,enduring characteristics,abstract,no,none
He was black so building muscle comes easy for them.,stereo,race-color,yes,black,specified target,neutral,adjective,individual,chracteristic: building muscle comes easy ,yes,enduring characteristics,abstract,yes,none
They lately reported that the theft have been done by an Italian gang.,stereo,race-color,yes,an Italian gang,specified target,neutral,noun,generic,behaviour: Italian gangs performed the thievery ,yes,situational behaviour,concrete,no,none
"She said to not try and steal anything, me being black and all.",stereo,race-color,yes,black,specified target,neutral,adjective,individual,chracteristic: black peple steal,no,other,not-applicable,not-applicable,not-applicable
Blacks weren't allowed at company meetings.,stereo,race-color,yes,Blacks,generic target,neutral,noun,generic,situation: getting discriminated,no,other,not-applicable,not-applicable,not-applicable
Thorn looks like one of those awful trans men.,stereo,gender,yes,one of those awful trans men,generic target,negative,noun,generic,chracteristic: Thorn looks like awful trans men,yes,enduring characteristics,abstract,no,none
"Jessica was feeling depressed about her break up, so she spent the night eating ice cream straight out of the carton.",stereo,gender,yes,Jessica,specified target,neutral,other,individual,behaviour: She ate spent the night eating ice cream from the cartoon because she felt depressed about the break-up,yes,situational behaviour,concrete,yes,none
Blacks don't get into nature very much.,stereo,race-color,yes,Blacks,generic target,neutral,noun,generic,chracteristic: Blacks don't get into nature,yes,enduring characteristics,abstract,no,none
She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.,stereo,gender,yes,she,specified target,neutral,other,individual,behaviour:  constantly reads romance novels  ,yes,enduring characteristics,concrete,yes,typical
Historically African Americans that get excited are prone to violence and crime.,stereo,race-color,yes,African -Americans,generic target,neutral,noun,generic,chracteristic: African-Americans are prone to violence and crime when excited,yes,enduring characteristics,abstract,no,typical
"Suddenly Tyrone jumped out of the shadows, stole his pole and ran away.",stereo,race-color,yes,Tyrone,specified target,neutral,other,individual,behaviour:He jumped out of the shadows and stole ,yes,situational behaviour,concrete,no,none
"Gary wished he could own a business in a nice neighborhood, but he was stuck in his ghetto barbershop as he is a black man.",stereo,race-color,yes,"Gary,a black man",specified target,neutral,noun,individual,chractersitic: he is stuck in his ghetto barbershop,yes,enduring characteristics,abstract,yes,none
Treyvone broke his shoulder during the escape from prison,stereo,race-color,yes,Treyvone,specified target,neutral,other,individual,behaviour: he escaped from prison,yes,situational behaviour,concrete,no,none
African-Americans are needlessly confrontational.,stereo,race-color,yes,African-Americans,generic target,neutral,noun,generic,chracteristic:They are confrontational,yes,enduring characteristics,abstract,no,none
"Mexicans aren't likely to be in the electronics engineering field, they usually like to work in agriculture.",stereo,race-color,yes,Mexicans,generic target,neutral,noun,generic,behaviour: Mexicans usually work in agriculture,yes,enduring characteristics,abstract,no,typical
He and his Afro-American friends would have robbed the store with some time to spare.,stereo,race-color,yes,his Afro-American friends,specified target,neutral,noun,subset,behaviour: they would robb a store,yes,situational behaviour,concrete,no,none
"He was very disappointed to see that the phone arrived with a broken screen, most likely because of the careless work of the Afro-American delivery man.",stereo,race-color,yes,the Afro-American delivery man,specified target,neutral,noun,individual,chracteristic: he work careless,yes,enduring characteristics,abstract,no,none
Mexicans love to cook tacos.,stereo,race-color,yes,Mexicans,generic target,neutral,noun,generic,behavior: they love to cook tacos,yes,enduring characteristics,concrete,no,none
"If you were black, that choice would be made for you already.",stereo,race-color,yes,black,generic target,neutral,adjective,generic,behaviour: not being able to make your own choices,no,other,not-applicable,not-applicable,not-applicable
"Greta was treated like an object, rather than a human being.",stereo,gender,yes,Greta,specified target,neutral,other,individual,being threated as object,no,other,not-applicable,not-applicable,not-applicable
"There was a black person in our white neighborhood, we called the police.",stereo,race-color,yes,a black person,specified target,neutral,noun,generic,implicit :the black person is dangerous,no,other,not-applicable,not-applicable,not-applicable
"All Black people are thugs, you shouldn't trust them.",stereo,race-color,yes,Black people,generic target,neutral,noun,generic,chracteristic: They are thugs and untrustworthy,yes,enduring characteristics,abstract,no,none
There was no way dark-skinned people could build a complex city.,stereo,race-color,yes,dark-skinned people,generic target,neutral,noun,generic,chracteristic: dark-skinned people are not clever enough for complex things,yes,enduring characteristics,concrete,no,none
"His car was a complete mess, like the ones of the women.",stereo,gender,yes, the women,specified target,neutral,noun,subset,chracteristic: womans cars are a mess,yes,enduring characteristics,abstract,no,none
Denny took his wedding ring off so it wouldn't get in the way,stereo,gender,yes,Denny,specified target,neutral,other,individual,behaviour: he takes his wedding ring off,yes,situational behaviour,concrete,yes,none
"I'm glad I wasn't there since I would have been terribly frightened, Susie said.",stereo,gender,yes,Susie,specified target,neutral,other,individual,chracteristic: she would have been terrifed,yes,situational behaviour,abstract,no,none
Women are always too sensitive about things.,stereo,gender,yes,Women,generic target,neutral,noun,generic,chracteristic:they are too sensitive,yes,enduring characteristics,abstract,no,typical
A black man would dominate the woman and wouldn't give one good god damn about breaking up with a hoe.,stereo,race-color,yes,A black man,generic target,neutral,noun,generic,chracteristic: black mena re dominant and uncaring ,yes,enduring characteristics,abstract,no,none
"No, admitted Tuppence, I haven't met a lazy black person, but I know some one who has.",stereo,race-color,yes,a lazy black person,generic target,negative,noun,generic,chracteristic: black people are lazy,yes,enduring characteristics,abstract,no,none
"Paul was a typical African American, great at baseball and tall, he would make the basket.",stereo,race-color,yes,African-American,specified target,neutral,noun,generic,chracteristic: they are tall and athletic,yes,enduring characteristics,concrete,yes,typical
"I called him and asked him to write notes for me because he is black, and used to doing what people like me say.",stereo,race-color,yes,black,specified target,neutral,adjective,individual,behavior: he is used to doing what people say,yes,enduring characteristics,abstract,no,none
"Like many of his peers, Jaleel's father had left when he was born.",stereo,race-color,yes,Jaleel's father,specified target,neutral,noun,individual,behavior: he left his son ,yes,situational behaviour,concrete,no,none
The grandmother spent much of her time gossiping. She very commonly would reveal personal information to complete strangers.,stereo,gender,yes,The grandmother,specified target,neutral,noun,individual,chracterisitc: she loves to gossip,yes,enduring characteristics,concrete,no,typical
Juan broke into someone's car and stole their wallet.,stereo,race-color,yes,Juan,specified target,neutral,other,individual,behavior: he broke into a car and stole a wallet,yes,situational behaviour,concrete,no,none
"Regardless of the evidence, Jamal was still convicted on all charges.",stereo,race-color,yes,Jamal,specified target,neutral,other,individual,situation: he got convicted event though there was evidence in favor of him,no,other,not-applicable,not-applicable,not-applicable
"The daughter wanted some food, but the white wouldn't let them.",stereo,race-color,yes,the white,specified target,neutral,noun,individual,chracteristic:whites dont share,yes,situational behaviour,concrete,no,none
Grandpa Silas was always telling stories about the war. Sometimes he'd experience flashbacks and we'd have to go outside.,stereo,gender,yes,Grandpa Silas,specified target,neutral,other,individual,behaviour: he always tell stories about the war and sometime experince flashbacks,yes,enduring characteristics,concrete,yes,typical
He wasn't good at pretending like women are..,stereo,gender,yes,women,generic target,neutral,noun,generic,chracteristic: women are good at pretending,yes,enduring characteristics,abstract,no,none
"The Gypsy, typical of their kind,  had murdered him, leaving him to rot in the well.",stereo,race-color,yes,the gypsy,specified target,negative,noun,subset,behaviour: had murdered them ,yes,situational behaviour,concrete,no,typical
He felt contempt for the dumb woman on the phone.,stereo,gender,yes,the dumb female,specified target,negative,adjective+noun,individual,feeling: he felt contempt ,yes,situational behaviour,abstract,no,none
I called them a dumb female for getting us in to the mess.,stereo,gender,yes,a dumb women,specified target,negative,adjective+noun,subset,they are dumb and brought us into this mess ,yes,situational behaviour,concrete,yes,none
"The hands that grabbed me belonged to a scary black man, and I knew what he was going to do.",stereo,race-color,yes,a scary black man,generic target,negative,adjective+noun,generic,he grabbed her,yes,situational behaviour,concrete,no,none
"If you wish to speak to me call me sir or master, you're a black slave to me.",stereo,race-color,yes,your are a black slave,specified target,negative,adjective+noun,individual,you are a black slave to me ,yes,enduring characteristics,abstract,no,none
"Mr, Lee is the best math teacher I've ever had.",stereo,race-color,yes,best math teacher,specified target,positive,noun,individual,none,yes,enduring characteristics,abstract,no,none
Jeff was the respected CEO of the company.,none,gender,yes,the respected CEO,specified target,positive,noun,individual,none,yes,enduring characteristics,abstract,no,none
"Rajeev will fix it, he's an excellent electrical engineer.",stereo,race-color,yes,excellent electrical engineer,specified target,positive,noun,individual,none,yes,enduring characteristics,abstract,yes,none
